171002 -396080.25516201
171004 -396071.01911992
171006 -396061.92554163
171008 -396054.33061095
171010 -396061.69940510
171012 -396067.48042207
171014 -396067.08997815
171016 -396053.10640774
171018 -396060.18884484
171020 -396074.84264558
171022 -396069.91067025
171024 -396077.84485797
171026 -396083.30393937
171028 -396076.92321567
171030 -396075.26099798
171032 -396064.19081662
171034 -396064.87096535
171036 -396069.15310944
171038 -396073.70497153
171040 -396085.27292070
171042 -396075.30751934
171044 -396073.18148305
171046 -396069.74382081
171048 -396059.33148054
171050 -396062.55034747
171052 -396070.09116707
171054 -396064.13105701
171056 -396068.36275655
171058 -396062.21826193
171060 -396069.03321654
171062 -396075.54379830
171064 -396064.03925771
171066 -396068.11436854
171068 -396068.69928235
171070 -396071.17472690
171072 -396083.37630972
171074 -396062.31167142
171076 -396066.43625510
171078 -396079.46470119
171080 -396070.28717060
171082 -396080.58558779
171084 -396078.47119274
171086 -396082.22501182
171088 -396075.90362824
171090 -396071.30982749
171092 -396080.39450174
171094 -396059.50896626
171096 -396061.66014309
171098 -396067.66921897
171100 -396062.30882692
171102 -396066.54579754
171104 -396063.02128580
171106 -396074.43766383
171108 -396071.17350545
171110 -396073.58165306
171112 -396085.80254654
171114 -396077.34528356
171116 -396079.76019446
171118 -396083.07796850
171120 -396067.08378118
171122 -396075.55800198
171124 -396085.72974885
171126 -396071.51102397
171128 -396077.97458520
171130 -396079.02858462
171132 -396078.95743414
171134 -396085.66580219
171136 -396079.56913634
171138 -396081.03941080
171140 -396079.91287724
171142 -396074.22882899
171144 -396075.95489858
171146 -396082.96373511
171148 -396071.65392451
171150 -396076.02159186
171152 -396064.43915600
171154 -396061.46879913
171156 -396066.49412747
171158 -396053.74904144
171160 -396069.47539611
171162 -396068.93612294
171164 -396054.83218931
171166 -396064.43953188
171168 -396053.78649309
171170 -396058.88207739
171172 -396067.76618738
171174 -396060.13238531
171176 -396072.08390058
171178 -396090.93546734
171180 -396072.67455235
171182 -396074.59139486
171184 -396087.24531036
171186 -396070.31518513
171188 -396064.37374944
171190 -396072.88730033
171192 -396067.79417681
171194 -396069.70720626
171196 -396071.46725142
171198 -396078.50234231
171200 -396072.33236829
171202 -396065.54424693
171204 -396081.32344355
171206 -396081.44557697
171208 -396084.00538138
171210 -396071.47095843
171212 -396058.81455925
171214 -396069.20839961
171216 -396077.84732220
171218 -396094.06799996
171220 -396085.29416974
171222 -396067.09083784
171224 -396085.39446395
171226 -396076.60960181
171228 -396088.15354152
171230 -396092.40947611
171232 -396079.98037687
171234 -396097.79938306
171236 -396088.96876136
171238 -396085.83825810
171240 -396096.81701510
171242 -396084.01516864
171244 -396081.32565144
171246 -396072.29201316
171248 -396064.87126405
171250 -396069.59378173
171252 -396063.96087111
171254 -396073.98178573
171256 -396083.97768342
171258 -396068.30111693
171260 -396071.14474983
171262 -396077.50615408
171264 -396071.24625388
171266 -396068.45710982
171268 -396049.56390059
171270 -396047.28325005
171272 -396067.15384073
171274 -396072.21642902
171276 -396076.14084972
171278 -396076.70259997
171280 -396058.57609028
171282 -396053.74416758
171284 -396067.24947631
171286 -396075.48600029
171288 -396075.31690249
171290 -396074.61290087
171292 -396070.69052647
171294 -396070.48580558
171296 -396073.72244171
171298 -396057.66814055
171300 -396064.37867256
171302 -396066.09394743
171304 -396057.92985404
171306 -396065.78853825
171308 -396061.15345178
171310 -396075.30138920
171312 -396079.57210226
171314 -396059.94985692
171316 -396070.67158447
