0	1.065148
1	1.063984
2	1.069980
3	1.080757
4	1.092807
5	1.102338
6	1.106153
7	1.103169
8	1.094412
9	1.082787
10	1.072323
11	1.066301
12	1.067082
13	1.074863
14	1.087493
15	1.101353
16	1.112412
17	1.117541
18	1.115008
19	1.105866
20	1.092567
21	1.079312
22	1.070200
23	1.067554
24	1.072200
25	1.082157
26	1.093894
27	1.103199
28	1.107264
29	1.104563
30	1.095792
31	1.083971
32	1.072590
33	1.065648
34	1.065566
35	1.072711
36	1.084947
37	1.098497
38	1.109248
39	1.114202
40	1.111775
41	1.102807
42	1.090015
43	1.077688
44	1.069422
45	1.067709
46	1.073090
47	1.083654
48	1.096081
49	1.106539
50	1.111870
51	1.110629
52	1.103481
53	1.092646
54	1.081500
55	1.073565
56	1.071303
57	1.074960
58	1.083282
59	1.093217
60	1.101708
61	1.105922
62	1.104727
63	1.098414
64	1.089707
65	1.080994
66	1.075308
67	1.074262
68	1.077787
69	1.084856
70	1.093004
71	1.099633
72	1.102490
73	1.101310
74	1.096358
75	1.089577
76	1.083562
77	1.080146
78	1.080496
79	1.084338
80	1.090268
81	1.096140
82	1.100034
83	1.100577
84	1.097447
85	1.091602
86	1.084875
87	1.079300
88	1.076611
89	1.077466
90	1.081450
91	1.087133
92	1.092709
93	1.096470
94	1.097199
95	1.094905
96	1.090344
97	1.085074
98	1.081102
99	1.079680
100	1.081355
101	1.085666
102	1.091560
103	1.096908
104	1.100482
105	1.100938
106	1.098378
107	1.093521
108	1.087713
109	1.082946
110	1.080255
111	1.080434
112	1.082986
113	1.086643
114	1.089930
115	1.091514
116	1.090318
117	1.086601
118	1.081745
119	1.077098
120	1.074386
121	1.075002
122	1.078971
123	1.085100
124	1.092152
125	1.097989
126	1.101084
127	1.100775
128	1.097430
129	1.092387
130	1.087049
131	1.083385
132	1.082485
133	1.084363
134	1.088328
135	1.092773
136	1.096154
137	1.097457
138	1.095738
139	1.091701
140	1.086475
141	1.081414
142	1.078058
143	1.077158
144	1.078820
145	1.082558
146	1.087251
147	1.092038
148	1.095716
149	1.097783
150	1.098085
151	1.096740
152	1.094468
153	1.091421
154	1.088655
155	1.086504
156	1.085512
157	1.085907
158	1.087726
159	1.090675
160	1.094182
161	1.097475
162	1.099749
163	1.100444
164	1.099404
165	1.096714
166	1.092729
167	1.088593
168	1.085020
169	1.083050
170	1.083451
171	1.086129
172	1.090570
173	1.095327
174	1.098956
175	1.100201
176	1.098322
177	1.093609
178	1.086896
179	1.079860
180	1.074548
181	1.072463
182	1.074144
183	1.079223
184	1.086450
185	1.093902
186	1.099604
187	1.102119
188	1.101070
189	1.097239
190	1.092206
191	1.087680
192	1.085363
193	1.086143
194	1.089671
195	1.094897
196	1.099986
197	1.103000
198	1.102961
199	1.099314
200	1.093067
201	1.085844
202	1.079392
203	1.075570
204	1.075543
205	1.079192
206	1.085656
207	1.093173
208	1.099772
209	1.103434
210	1.103264
211	1.099122
212	1.092196
213	1.084515
214	1.078766
215	1.076834
216	1.079955
217	1.087505
218	1.097810
219	1.108309
220	1.115434
221	1.117128
222	1.112495
223	1.102526
224	1.089825
225	1.077333
226	1.068663
227	1.066193
228	1.071035
229	1.082054
230	1.096932
231	1.111480
232	1.121833
233	1.125392
234	1.121012
235	1.109480
236	1.094124
237	1.079001
238	1.068393
239	1.065281
