# Time-averaged data for fix myat3
# TimeStep v_mydensity
31300 0.0135557
31400 0.0135567
31500 0.0135515
31600 0.0135624
31700 0.0135548
31800 0.0135553
31900 0.0135621
32000 0.0135651
32100 0.0135616
32200 0.0135513
32300 0.0135567
32400 0.0135646
32500 0.0135668
32600 0.0135517
32700 0.0135572
32800 0.0135514
32900 0.0135639
33000 0.0135642
33100 0.0135643
33200 0.0135599
33300 0.0135634
33400 0.0135667
33500 0.0135541
33600 0.0135614
33700 0.0135606
33800 0.0135528
33900 0.013572
34000 0.0135599
34100 0.0135605
34200 0.0135583
34300 0.0135611
34400 0.0135653
34500 0.0135635
34600 0.013553
34700 0.0135568
34800 0.0135664
34900 0.0135612
35000 0.013553
35100 0.013555
35200 0.0135555
35300 0.0135634
35400 0.0135641
35500 0.0135555
35600 0.013569
35700 0.0135609
35800 0.0135544
35900 0.0135551
36000 0.0135563
36100 0.0135567
36200 0.0135538
36300 0.0135436
36400 0.0135566
36500 0.0135552
36600 0.0135666
36700 0.0135557
36800 0.0135528
36900 0.0135595
37000 0.013562
37100 0.013554
37200 0.0135519
37300 0.0135633
37400 0.0135539
37500 0.013557
37600 0.0135606
37700 0.0135542
37800 0.0135536
37900 0.0135619
38000 0.0135551
38100 0.013554
38200 0.0135536
38300 0.01356
38400 0.0135643
38500 0.0135616
38600 0.0135627
38700 0.0135626
38800 0.0135659
38900 0.0135596
39000 0.0135631
39100 0.0135496
39200 0.0135601
39300 0.0135534
39400 0.013562
39500 0.0135714
39600 0.013566
39700 0.0135544
39800 0.0135442
39900 0.0135615
40000 0.0135489
