# Time-averaged data for fix myat3
# TimeStep v_mydensity
31400 0.0135124
31500 0.0135141
31600 0.0135126
31700 0.0135186
31800 0.0135067
31900 0.0135066
32000 0.0135052
32100 0.0135176
32200 0.0135152
32300 0.0135088
32400 0.0135061
32500 0.0135126
32600 0.0134942
32700 0.0135085
32800 0.0135156
32900 0.0135181
33000 0.0135113
33100 0.013516
33200 0.0135058
33300 0.0135154
33400 0.0135072
33500 0.0135112
33600 0.0135001
33700 0.0135165
33800 0.0135072
33900 0.0135023
34000 0.0135094
34100 0.0135032
34200 0.0135017
34300 0.0135017
34400 0.0134955
34500 0.0135046
34600 0.0134983
34700 0.0135037
34800 0.013505
34900 0.0135001
35000 0.0134998
35100 0.0134955
35200 0.0134972
35300 0.0135071
35400 0.0135082
35500 0.0134948
35600 0.0135081
35700 0.0134999
35800 0.0135018
35900 0.0134961
36000 0.0134994
36100 0.0135041
36200 0.0135035
36300 0.0134989
36400 0.0135055
36500 0.0134954
36600 0.0134955
36700 0.0135034
36800 0.0135061
36900 0.0135011
37000 0.0135111
37100 0.0135067
37200 0.0135037
37300 0.0134908
37400 0.0135063
37500 0.0135119
37600 0.0135113
37700 0.0135062
37800 0.0135045
37900 0.0135052
38000 0.0135034
38100 0.013506
38200 0.0135058
38300 0.0135079
38400 0.0135097
38500 0.0135164
38600 0.0135095
38700 0.0135091
38800 0.0135081
38900 0.0135067
39000 0.0135048
39100 0.0135032
39200 0.0134922
39300 0.0134997
39400 0.0134993
39500 0.0135099
39600 0.0135096
39700 0.0135043
39800 0.0135037
39900 0.0135064
40000 0.0134972
