#############x              Curve2
9.11363              3.4994
9.13811              3.4994
9.16259              3.4994
9.19931              3.4994
9.23602              3.4994
9.27274              3.4994
9.30946              3.4994
9.34618              3.4994
9.37066              3.4994
9.40738              3.4994
9.4441              3.4994
9.48082              3.4994
9.5053              3.4994
9.55426              3.4994
9.60324              3.50659
9.6522              3.50659
9.7134              3.50659
9.7746              3.50659
9.82355              3.50659
9.86027              3.50659
9.90923              3.50659
9.94595              3.50659
9.98267              3.50659
10.0072              3.50659
