# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
7 1.3 1.73327 1.12348
8 1.5 0.347338 1.2434
9 1.7 0.315592 1.3833
10 1.9 0.544093 1.68451
11 2.1 0.371573 1.93576
12 2.3 0.415414 2.27266
13 2.5 0.579611 2.82798
14 2.7 0.64771 3.55175
15 2.9 0.800698 4.58387
16 3.1 1.04773 6.12705
17 3.3 1.15984 8.06281
18 3.5 1.17711 10.2727
19 3.7 1.20098 12.7923
20 3.9 1.1459 15.4632
21 4.1 1.1682 18.4725
22 4.3 1.10591 21.606
23 4.5 1.01348 24.7509
24 4.7 0.994024 28.1156
25 4.9 0.935499 31.5575
26 5.1 0.956344 35.369
27 5.3 0.999297 39.6702
28 5.5 0.92641 43.9643
29 5.7 0.933087 48.6096
30 5.9 0.986258 53.8701
31 6.1 1.00903 59.6231
32 6.3 1.0028 65.7216
33 6.5 0.990111 72.1313
34 6.7 1.02549 79.1849
35 6.9 1.01133 86.5625
36 7.1 1.01005 94.364
37 7.3 1.01106 102.62
38 7.5 1.01468 111.365
39 7.7 0.985439 120.317
40 7.9 0.993056 129.813
41 8.1 1.0135 140.001
42 8.3 0.98215 150.368
43 8.5 1.0065 161.51
44 8.7 1.00532 173.169
45 8.9 1.01428 185.479
46 9.1 0.995843 198.114
47 9.3 0.988376 211.212
48 9.5 0.995824 224.982
49 9.7 0.999844 239.396
50 9.9 1.0091 254.55
500 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0.0199937 0.00142755
5 0.9 3.26225 0.385439
6 1.1 1.6096 0.668094
7 1.3 1.7766 1.1035
8 1.5 0.503391 1.26767
9 1.7 0.330679 1.40614
10 1.9 0.600548 1.7202
11 2.1 0.40229 1.97716
12 2.3 0.409946 2.29122
13 2.5 0.514208 2.7566
14 2.7 0.554486 3.3419
15 2.9 0.658872 4.14418
16 3.1 0.919321 5.42327
17 3.3 1.13636 7.21485
18 3.5 1.19618 9.33619
19 3.7 1.16547 11.646
20 3.9 1.20593 14.3012
21 4.1 1.22023 17.2705
22 4.3 1.13605 20.3112
23 4.5 1.07824 23.4718
24 4.7 1.03978 26.7966
25 4.9 0.980878 30.2056
26 5.1 0.947932 33.7744
27 5.3 0.934626 37.5746
28 5.5 0.913867 41.576
29 5.7 0.95954 46.0885
30 5.9 0.930445 50.7766
31 6.1 0.976194 56.0343
32 6.3 1.00143 61.7873
33 6.5 1.00215 67.9158
34 6.7 0.997047 74.394
35 6.9 1.02233 81.439
36 7.1 1.03305 88.9764
37 7.3 1.01387 96.7966
38 7.5 1.01768 105.082
39 7.7 1.00859 113.737
40 7.9 1.01396 122.897
41 8.1 0.988559 132.284
42 8.3 1.0115 142.37
43 8.5 0.983033 152.65
44 8.7 1.00455 163.655
45 8.9 0.999636 175.115
46 9.1 0.985957 186.932
47 9.3 0.992246 199.353
48 9.5 0.997137 212.378
49 9.7 1.00414 226.053
50 9.9 0.989441 240.089
600 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.54854 0.398287
6 1.1 1.57727 0.662384
7 1.3 1.97322 1.12348
8 1.5 0.546306 1.29336
9 1.7 0.364684 1.43897
10 1.9 0.604072 1.74019
11 2.1 0.419567 1.99572
12 2.3 0.445574 2.3212
13 2.5 0.502894 2.75517
14 2.7 0.459551 3.2177
15 2.9 0.5742 3.88437
16 3.1 0.798444 4.94361
17 3.3 1.07403 6.55817
18 3.5 1.19458 8.57816
19 3.7 1.24196 10.9251
20 3.9 1.21511 13.4761
21 4.1 1.18807 16.2327
22 4.3 1.20321 19.3034
23 4.5 1.0966 22.3683
24 4.7 1.06474 25.6146
25 4.9 0.987793 28.8879
26 5.1 0.95241 32.3069
27 5.3 0.953698 36.0043
28 5.5 0.910226 39.8044
29 5.7 0.945851 44.0457
30 5.9 0.951162 48.6153
31 6.1 0.942635 53.4561
32 6.3 0.972088 58.7809
33 6.5 0.987129 64.5368
34 6.7 1.00466 70.7609
35 6.9 1.0383 77.5832
36 7.1 1.01818 84.6667
37 7.3 0.996158 91.9929
38 7.5 1.0344 100.023
39 7.7 1.0119 108.303
40 7.9 1.01054 117.006
41 8.1 1.00162 126.076
