######x    Curve1
0.00000     0.00000000                0.00000000
8.65563    0.991617		     89.77144600
8.76581    0.998802		     93.27426900
8.87597    0.998802		     96.87840200
8.97389    0.998802		    100.15806000
9.04733    0.998802		    102.66523000
9.15748    0.998802		    106.50273000
9.24316    0.998802		    109.55224000
9.36555    0.991617		    113.99125000
9.47571    0.991617		    118.07255000
9.57363    0.991617		    121.78092000
9.67155    0.991617		    125.56592000
9.7817    0.991617		    129.91625000
9.87962    0.991617		    133.86671000
9.95306    0.991617		    136.88139000
10.002    0.991617		    138.91520000
