0.05 0
0.15 0
0.25 0
0.35 0
0.45 0
0.55 0
0.65 0
0.75 0
0.85 0
0.95 0
1.05 0
1.15 0
1.25 0
1.35 0.030814
1.45 1.3921
1.55 3.35845
1.65 0.810739
1.75 0.0925478
1.85 0.231753
1.95 0.504956
2.05 0.861564
2.15 1.15793
2.25 1.28255
2.35 1.2632
2.45 1.15823
2.55 1.0461
2.65 0.93716
2.75 0.841009
2.85 0.759853
2.95 0.715573
3.05 0.706083
3.15 0.731543
3.25 0.790055
3.35 0.864579
3.45 0.946851
3.55 1.02663
3.65 1.08702
3.75 1.11384
3.85 1.11799
3.95 1.10831
4.05 1.09413
4.15 1.07747
4.25 1.0592
4.35 1.04477
4.45 1.03677
4.55 1.03318
4.65 1.03121
4.75 1.03163
4.85 1.02772
4.95 1.02292
5.05 1.0181
5.15 1.01262
5.25 1.00736
5.35 1.0023
5.45 0.996702
5.55 0.991892
5.65 0.98774
5.75 0.984658
5.85 0.983786
5.95 0.98341
6.05 0.982737
6.15 0.982579
6.25 0.98115
6.35 0.982096
6.45 0.981889
6.55 0.983113
6.65 0.984415
6.75 0.986066
6.85 0.98896
6.95 0.993318
7.05 0.996775
7.15 1.00044
7.25 1.00315
7.35 1.00549
7.45 1.00839
7.55 1.00994
7.65 1.00941
7.75 1.00961
7.85 1.01061
7.95 1.01089
8.05 1.01144
8.15 1.01148
8.25 1.011
8.35 1.01011
8.45 1.00773
8.55 1.00596
8.65 1.00363
8.75 1.00198
8.85 1.00026
8.95 0.998166
9.05 0.996543
9.15 0.995825
9.25 0.995724
9.35 0.994799
9.45 0.994984
9.55 0.993665
9.65 0.995
9.75 0.995876
9.85 0.996918
9.95 0.997118
